
2025/01/15 (13:23:14) | ===> btop++ v.1.4.0
2025/01/15 (13:23:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (13:24:15) | ===> btop++ v.1.4.0
2025/01/15 (13:24:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (13:24:38) | ===> btop++ v.1.4.0
2025/01/15 (13:24:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (10:28:06) | ===> btop++ v.1.4.0
2025/01/26 (10:28:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (10:34:19) | ===> btop++ v.1.4.0
2025/01/26 (10:34:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (08:02:10) | ===> btop++ v.1.4.0
2025/02/05 (08:02:10) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/02/05 (10:22:59) | ===> btop++ v.1.4.0
2025/02/05 (10:22:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (10:23:13) | ===> btop++ v.1.4.0
2025/02/05 (10:23:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (20:48:11) | ===> btop++ v.1.4.0
2025/02/05 (20:48:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (16:18:34) | ===> btop++ v.1.4.0
2025/02/09 (16:18:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (16:18:42) | ===> btop++ v.1.4.0
2025/02/09 (16:18:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (08:32:59) | ===> btop++ v.1.4.0
2025/02/19 (08:32:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (20:48:19) | ===> btop++ v.1.4.0
2025/02/27 (20:48:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (10:23:50) | ===> btop++ v.1.4.0
2025/02/28 (10:23:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (12:35:17) | ===> btop++ v.1.4.0
2025/02/28 (12:35:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (12:35:51) | ===> btop++ v.1.4.0
2025/02/28 (12:35:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (21:21:44) | ===> btop++ v.1.4.0
2025/02/28 (21:21:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (10:29:09) | ===> btop++ v.1.4.0
2025/03/02 (10:29:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (09:31:45) | ===> btop++ v.1.4.0
2025/03/31 (09:31:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (09:34:34) | ===> btop++ v.1.4.0
2025/03/31 (09:34:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (22:30:06) | ===> btop++ v.1.4.0
2025/04/05 (22:30:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (10:58:29) | ===> btop++ v.1.4.0
2025/04/23 (10:58:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/10 (16:42:34) | ===> btop++ v.1.4.0
2025/05/10 (16:42:34) | WARNING: Intel GPU: Failed to initialize PMU
